#Organism Name,Organism Groups,Strain,BioSample,BioProject,Level,Size(Mb),CDS,Genes,Host,RefSeq category,tRNA
"Histophilus somni","Bacteria;Proteobacteria;Gammaproteobacteria","USDA-ARS-USMARC-63369","SAMN06141921","PRJNA281531","Complete",2.18344,1883,2013,"human",,48
"Sphingomonas sp. KC8","Bacteria;Proteobacteria;Alphaproteobacteria","KC8","SAMN04904200","PRJNA319754","Complete",4.12301,3788,3944,,,49
"Borreliella burgdorferi","Bacteria;Spirochaetes;Spirochaetia","PAli","SAMN03269135","PRJNA270494","Complete",1.28811,1231,1342,"human",,32
"Vibrio alginolyticus","Bacteria;Proteobacteria;Gammaproteobacteria","K08M4","SAMN05860643","PRJNA345286","Complete",4.88629,4071,4378,,,131
"Lactobacillus brevis","Bacteria;Terrabacteria group;Firmicutes","TMW 1.2108","SAMN04517635","PRJNA313253","Complete",2.91798,2738,2926,,,68
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","1457","SAMN02640609","PRJNA377759","Complete",2.47007,2283,2433,"human",,58
"Bacillus licheniformis","Bacteria;Terrabacteria group;Firmicutes","SCDB 14","SAMN03998272","PRJNA293170","Complete",4.34247,4280,4479,,,83
"Klebsiella variicola","Bacteria;Proteobacteria;Gammaproteobacteria","GJ2","SAMN05361854","PRJNA327903","Complete",5.92703,5656,5959,,,86
"Coxiella burnetii 'MSU Goat Q177'","Bacteria;Proteobacteria;Gammaproteobacteria","MSU Goat Q177","SAMN02435866","PRJNA17747","Complete",2.1023,1983,2305,"human",,42
"Lactobacillus fermentum","Bacteria;Terrabacteria group;Firmicutes","SNUV175","SAMN06174220","PRJNA358449","Complete",2.27233,2108,2304,,,58
"Rhizobium etli 8C-3","Bacteria;Proteobacteria;Alphaproteobacteria","8C-3","SAMN04017682","PRJNA293876","Complete",7.30912,6720,7103,,,54
"Granulibacter bethesdensis","Bacteria;Proteobacteria;Alphaproteobacteria","NIH1.4","SAMN05992017","PRJNA352786","Complete",2.70845,2382,2470,"human",,52
"Lactobacillus delbrueckii subsp. lactis","Bacteria;Terrabacteria group;Firmicutes","KCCM 34717","SAMN06074287","PRJNA355327","Complete",2.26338,1950,2296,,,98
"Microbacterium sp. 1.5R","Bacteria;Terrabacteria group;Actinobacteria","1.5R","SAMN05992342","PRJNA352825","Complete",3.62032,3383,3470,,,45
"Leuconostoc mesenteroides subsp. jonggajibkimchii","Bacteria;Terrabacteria group;Firmicutes","DRC1506","SAMN04198570","PRJNA299366","Complete",1.98392,1783,2007,,,70
"Klebsiella oxytoca","Bacteria;Proteobacteria;Gammaproteobacteria","CAV1015","SAMN03733631","PRJNA246471","Complete",6.58239,6185,6466,"human",,86
"Bacillus coagulans","Bacteria;Terrabacteria group;Firmicutes","BC-HY1","SAMN05817827","PRJNA343340","Complete",3.59908,3307,3574,,,86
"Clostridium pasteurianum","Bacteria;Terrabacteria group;Firmicutes","M150B","SAMN04208905","PRJNA299496","Complete",4.35186,3825,4035,,,81
"Streptomyces albus","Bacteria;Terrabacteria group;Actinobacteria","BK3-25","SAMN04577683","PRJNA316158","Complete",8.30843,6491,6888,,,65
"Chlamydia abortus","Bacteria;PVC group;Chlamydiae","1B_cevac","SAMEA1903265","PRJEB6924","Complete",1.14447,940,1027,"human",,38
"Piscirickettsia salmonis","Bacteria;Proteobacteria;Gammaproteobacteria","AY3800B","SAMN04376258","PRJNA306730","Complete",3.5156,3236,3611,,,56
"Burkholderia ubonensis","Bacteria;Proteobacteria;Betaproteobacteria","MSMB1471WGS","SAMN03449682","PRJNA279182","Complete",7.46341,6491,6778,,,72
"Burkholderia multivorans","Bacteria;Proteobacteria;Betaproteobacteria","MSMB1640WGS","SAMN03449689","PRJNA279182","Complete",6.84536,6113,6438,"human",,66
"Burkholderia cepacia","Bacteria;Proteobacteria;Betaproteobacteria","INT3-BP177","SAMN03449179","PRJNA279182","Complete",7.33738,6434,6735,"human",,67
"Enterobacter sp. HK169","Bacteria;Proteobacteria;Gammaproteobacteria","HK169","SAMN05285327","PRJNA326573","Complete",4.55119,4167,4383,,,83
"Brucella canis","Bacteria;Proteobacteria;Alphaproteobacteria","2010009751","SAMN05559077","PRJNA338463","Complete",3.27759,3118,3325,"human",,55
"Sphingobium sp. RAC03","Bacteria;Proteobacteria;Alphaproteobacteria","RAC03","SAMN04909708","PRJNA319832","Complete",4.36975,4009,4161,,,53
"Bacillus pumilus","Bacteria;Terrabacteria group;Firmicutes","PDSLzg-1","SAMN05504558","PRJNA335919","Complete",3.71077,3644,3824,,,81
"Bordetella bronchiseptica","Bacteria;Proteobacteria;Betaproteobacteria","I328","SAMN05333722","PRJNA287884","Complete",5.07749,4633,4786,"human",,54
"Mycoplasma hyorhinis","Bacteria;Terrabacteria group;Tenericutes","MDBK-IPV","SAMN05467877","PRJNA335953","Complete",0.837377,661,755,,,30
"Rhodococcus sp. WB1","Bacteria;Terrabacteria group;Actinobacteria","WB1","SAMN04606842","PRJNA317416","Complete",6.14856,5390,5565,,,54
"Pseudonocardia sp. HH130630-07","Bacteria;Terrabacteria group;Actinobacteria","HH130630-07","SAMN03922416","PRJNA290893","Complete",6.68045,5859,6278,,,50
"Streptococcus anginosus","Bacteria;Terrabacteria group;Firmicutes","J4206","SAMN03271571","PRJNA270893","Complete",2.00135,1912,1912,,,59
"Aggregatibacter actinomycetemcomitans","Bacteria;Proteobacteria;Gammaproteobacteria","IDH781","SAMN05363964","PRJNA328135","Complete",2.29125,2094,2281,"human",,54
"Rhodobacter sphaeroides","Bacteria;Proteobacteria;Alphaproteobacteria","MBTLJ-13","SAMN04590023","PRJNA316780","Complete",4.64905,4360,4561,,,54
"Bacteroides fragilis","Bacteria;FCB group;Bacteroidetes/Chlorobi group","S14","SAMN03921941","PRJNA290855","Complete",4.90221,4068,4280,"human",,73
"Serratia plymuthica","Bacteria;Proteobacteria;Gammaproteobacteria","3Re4-18","SAMN03841798","PRJNA289082","Complete",5.43957,4898,5113,,,86
"Rhizobium phaseoli","Bacteria;Proteobacteria;Alphaproteobacteria","R630","SAMN03998633","PRJNA293118","Complete",6.75256,6225,6543,,,52
"Rhizobium sp. N1341","Bacteria;Proteobacteria;Alphaproteobacteria","N1341","SAMN03998639","PRJNA293118","Complete",6.55556,6083,6427,,,51
"[Haemophilus] ducreyi","Bacteria;Proteobacteria;Gammaproteobacteria","VAN5","SAMN04632443","PRJNA318024","Complete",1.66748,1481,1645,"human",,49
"Elizabethkingia anophelis","Bacteria;FCB group;Bacteroidetes/Chlorobi group","CSID_3000521207","SAMN04567738","PRJNA315668","Complete",3.85345,3400,3505,"human",,52
"Candidatus Tremblaya princeps","Bacteria;Proteobacteria;Betaproteobacteria","TPPMAR1","SAMEA3723486","PRJEB12069","Complete",0.140306,124,170,,,20
"Mycoplasma bovis","Bacteria;Terrabacteria group;Tenericutes","HB0801-P115","SAMN02639473","PRJNA237726","Complete",0.977322,738,834,,,34
"Lactobacillus plantarum 16","Bacteria;Terrabacteria group;Firmicutes","16","SAMN02604115","PRJNA198762","Complete",3.36102,3076,3281,,,66
"Corynebacterium glutamicum SCgG2","Bacteria;Terrabacteria group;Actinobacteria","SCgG2","SAMN02603964","PRJNA175241","Complete",3.35062,2980,3129,,,59
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","UW163","SAMN04123295","PRJNA297400","Complete",5.59624,4759,5012,"plants",,54
"Clostridium perfringens","Bacteria;Terrabacteria group;Firmicutes","JP838","SAMN03377063","PRJNA276513","Complete",4.07081,3643,3836,"human",,102
"Alteromonas macleodii","Bacteria;Proteobacteria;Gammaproteobacteria","HOT1A3","SAMN03835502","PRJNA288688","Complete",4.80181,3986,4195,,,71
"Streptococcus mutans","Bacteria;Terrabacteria group;Firmicutes","NG8","SAMN04155244","PRJNA298029","Complete",1.98444,1844,1988,"human",,64
"Streptococcus salivarius","Bacteria;Terrabacteria group;Firmicutes","JF","SAMN04395122","PRJNA308383","Complete",2.19104,1922,2100,"human",,92
"Arthrobacter sp. YC-RL1","Bacteria;Terrabacteria group;Actinobacteria","YC-RL1","SAMN04281197","PRJNA302833","Complete",4.01864,3606,3754,,,67
"Vibrio vulnificus","Bacteria;Proteobacteria;Gammaproteobacteria","FORC_009","SAMN03174938","PRJNA266859","Complete",5.0607,4466,4760,"human",,117
"Synechocystis sp. PCC 6803","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","PCC 6803","SAMN02603388","PRJNA80481","Complete",3.94931,3594,3726,,,41
"Geobacillus sp. GHH01","Bacteria;Terrabacteria group;Firmicutes","GHH01","SAMN02603276","PRJNA180997","Complete",3.58313,3368,3668,,,88
"Blattabacterium sp. (Blatta orientalis) str. Tarazona","Bacteria;FCB group;Bacteroidetes/Chlorobi group","Tarazona","SAMN02604108","PRJNA71049","Complete",0.638184,550,635,,,34
"Lactobacillus casei W56","Bacteria;Terrabacteria group;Firmicutes","W56","SAMEA2271945","PRJEB219","Complete",3.1321,3010,3326,,,60
"Enterococcus faecalis str. Symbioflor 1","Bacteria;Terrabacteria group;Firmicutes","Symbioflor 1","SAMEA2272087","PRJEB648","Complete",2.81067,2733,2885,"human",,63
"Porphyromonas gingivalis 381","Bacteria;FCB group;Bacteroidetes/Chlorobi group","381","SAMN03656156","PRJNA276132","Complete",2.37887,1968,2137,"human",,53
"Candidatus Carsonella ruddii HT isolate Thao2000","Bacteria;Proteobacteria;Gammaproteobacteria","HT","SAMN02641650","PRJNA165189","Complete",0.157543,166,192,,,23
"Enterococcus faecium","Bacteria;Terrabacteria group;Firmicutes","64/3","SAMN04009964","PRJNA293793","Complete",2.57233,2441,2631,"human",,68
"Fusobacterium nucleatum subsp. animalis","Bacteria;Fusobacteria;Fusobacteriia","KCOM 1279","SAMN03263149","PRJNA270143","Complete",2.54935,2260,2458,"human",,39
"Enterobacter hormaechei subsp. steigerwaltii","Bacteria;Proteobacteria;Gammaproteobacteria","34977","SAMN03067414","PRJNA259658","Complete",5.20925,4857,5094,"human",,83
"Citrobacter freundii","Bacteria;Proteobacteria;Gammaproteobacteria","P10159","SAMN03996567","PRJNA293024","Complete",5.08032,4664,5065,"human",,69
"Serratia marcescens","Bacteria;Proteobacteria;Gammaproteobacteria","RSC-14","SAMN04029108","PRJNA294721","Complete",5.12703,4673,4849,"human",,88
"Stenotrophomonas maltophilia","Bacteria;Proteobacteria;Gammaproteobacteria","ISMMS2","SAMN03389647","PRJNA277366","Complete",4.50972,4010,4135,"human",,74
"Oblitimonas alkaliphila","Bacteria;Proteobacteria;Gammaproteobacteria","E1148","SAMN03948285","PRJNA291610","Complete",2.37726,2175,2288,,,53
"Metallosphaera sedula","Archaea;TACK group;Crenarchaeota","SARC-M1","SAMN03890864","PRJNA290374","Complete",2.19153,2301,2379,,,44
"Lactobacillus paracasei","Bacteria;Terrabacteria group;Firmicutes","L9","SAMN03853751","PRJNA289435","Complete",3.07644,2926,3169,,,59
"Vibrio cholerae O1 str. 2010EL-1786","Bacteria;Proteobacteria;Gammaproteobacteria","2010EL-1786","SAMN00765529","PRJNA59943","Complete",4.07774,3729,3894,"human",,79
"Xanthomonas campestris pv. campestris","Bacteria;Proteobacteria;Gammaproteobacteria","ICMP 21080","SAMN03614209","PRJNA283327","Complete",4.91112,4039,4389,"plants",,54
"Burkholderia pseudomallei BPC006","Bacteria;Proteobacteria;Betaproteobacteria","BPC006","SAMN02603176","PRJNA172945","Complete",7.15506,6885,7373,"human",,60
"Mycoplasma gallisepticum NC95_13295-2-2P","Bacteria;Terrabacteria group;Tenericutes","NC95_13295-2-2P","SAMN02604157","PRJNA86095","Complete",0.953989,727,788,,,32
"Rickettsia rickettsii str. Hlp#2","Bacteria;Proteobacteria;Alphaproteobacteria","Hlp#2","SAMN02603549","PRJNA75015","Complete",1.27075,1272,1553,"human",,34
"Pseudomonas stutzeri DSM 10701","Bacteria;Proteobacteria;Gammaproteobacteria","DSM 10701","SAMN02604107","PRJNA78211","Complete",4.17412,3772,3931,,,61
"Rickettsia prowazekii str. GvV257","Bacteria;Proteobacteria;Alphaproteobacteria","GvV257","SAMN02603546","PRJNA75007","Complete",1.11197,851,919,"human",,33
"Pseudomonas aeruginosa DK2","Bacteria;Proteobacteria;Gammaproteobacteria","DK2","SAMN02603895","PRJNA73815","Complete",6.40266,5910,6098,"human",,63
"Chlamydia psittaci 08DC60","Bacteria;PVC group;Chlamydiae","08DC60","SAMN02603520","PRJNA66485","Complete",1.17203,972,1036,"human",,38
"Bacillus amyloliquefaciens Y2","Bacteria;Terrabacteria group;Firmicutes","Y2","SAMN02603232","PRJNA78839","Complete",4.23862,4038,4246,,,86
"Streptococcus thermophilus MN-ZLW-002","Bacteria;Terrabacteria group;Firmicutes","MN-ZLW-002","SAMN02603848","PRJNA159887","Complete",1.84852,1695,1982,,,57
"Corynebacterium pseudotuberculosis 42/02-A","Bacteria;Terrabacteria group;Actinobacteria","42/02-A","SAMN02603751","PRJNA73233","Complete",2.33761,2018,2143,"human",,49
"Bacillus anthracis str. H9401","Bacteria;Terrabacteria group;Firmicutes","H9401","SAMN02603474","PRJNA49361","Complete",5.49547,5709,6123,"human",,96
"Pseudomonas putida BIRD-1","Bacteria;Proteobacteria;Gammaproteobacteria","BIRD-1","SAMN02603225","PRJNA54033","Complete",5.73154,5110,5315,"human",,65
"Sulfolobus islandicus REY15A","Archaea;TACK group;Crenarchaeota","REY15A","SAMN02603882","PRJNA60485","Complete",2.52299,2540,2775,,,46
"Lactococcus lactis subsp. lactis CV56","Bacteria;Terrabacteria group;Firmicutes","CV56","SAMN02603398","PRJNA60377","Complete",2.51874,2380,2571,,,65
"Sinorhizobium meliloti GR4","Bacteria;Proteobacteria;Alphaproteobacteria","GR4","SAMN02603224","PRJNA175860","Complete",7.14171,6588,7071,,,53
"Shewanella baltica BA175","Bacteria;Proteobacteria;Gammaproteobacteria","BA175","SAMN00016994","PRJNA49719","Complete",5.1994,4330,4572,,,108
"Streptococcus suis JS14","Bacteria;Terrabacteria group;Firmicutes","JS14","SAMN02603326","PRJNA61797","Complete",2.13743,1979,2161,"human",,62
"Campylobacter jejuni subsp. jejuni IA3902","Bacteria;Proteobacteria;delta/epsilon subdivisions","IA3902","SAMN02603425","PRJNA28907","Complete",1.67222,1671,1757,"human",,44
"Bacillus thuringiensis serovar chinensis CT-43","Bacteria;Terrabacteria group;Firmicutes","CT-43","SAMN02603315","PRJNA43737","Complete",6.15115,6105,6576,,,85
"Bifidobacterium animalis subsp. lactis CNCM I-2494","Bacteria;Terrabacteria group;Actinobacteria","CNCM I-2494","SAMN02604350","PRJNA67865","Complete",1.94311,1576,1658,,,52
"Bacillus subtilis subsp. subtilis str. RO-NN-1","Bacteria;Terrabacteria group;Firmicutes","RO-NN-1","SAMN02603351","PRJNA68559","Complete",4.01195,3900,4115,,,86
"Acetobacter pasteurianus IFO 3283-32","Bacteria;Proteobacteria;Alphaproteobacteria","IFO 3283 substr. IFO 3283-32","SAMD00060948","PRJDA31139","Complete",3.33704,2911,3149,,,57
"Neisseria gonorrhoeae","Bacteria;Proteobacteria;Betaproteobacteria","35/02","SAMN03459417","PRJNA278367","Complete",2.17324,2222,2556,"human",,55
"Leptospira interrogans serovar Manilae","Bacteria;Spirochaetes;Spirochaetia","UP-MMC-NIID LP","SAMN03780437","PRJNA287300","Complete",4.6674,3800,4203,"human",,37
"Bacillus megaterium Q3","Bacteria;Terrabacteria group;Firmicutes","Q3","SAMN03799770","PRJNA236009","Complete",5.2298,5134,5383,,,129
"Legionella pneumophila subsp. pneumophila ATCC 43290","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 43290","SAMN02603182","PRJNA78169","Complete",3.359,2969,3064,"human",,43
"Mycoplasma pneumoniae M129-B7","Bacteria;Terrabacteria group;Tenericutes","M129-B7","SAMN02604130","PRJNA176548","Complete",0.816451,1427,1569,"human",,74
"Corynebacterium diphtheriae BH8","Bacteria;Terrabacteria group;Actinobacteria","BH8","SAMN02603077","PRJNA42423","Complete",2.48552,2262,2469,"human",,52
"Chlamydia trachomatis L2b/UCH-1/proctitis","Bacteria;PVC group;Chlamydiae","UCH-1","SAMEA1705954","PRJNA28585","Complete",1.03886,895,966,"human",,37
"Xanthomonas oryzae pv. oryzicola","Bacteria;Proteobacteria;Gammaproteobacteria","YM15","SAMN02793996","PRJNA248159","Complete",4.43083,3562,4284,"plants",,50
"Methanosarcina barkeri CM1","Archaea;Euryarchaeota;Stenosarchaea group","CM1","SAMN02866457","PRJNA49587","Complete",4.50117,3437,3764,,,60
"Streptomyces sp. CNQ-509","Bacteria;Terrabacteria group;Actinobacteria","CNQ-509","SAMN03699827","PRJNA284218","Complete",8.03933,6518,7048,,,57
"Chlamydia pneumoniae","Bacteria;PVC group;Chlamydiae","Wien1","SAMEA3212833","PRJEB8246","Complete",1.22812,1064,1121,"human",,38
"Pseudomonas syringae pv. syringae HS191","Bacteria;Proteobacteria;Gammaproteobacteria","HS191","SAMN03267749","PRJNA198196","Complete",6.00276,5127,5451,"plants",,67
"Thermotoga maritima","Bacteria;Thermotogae;Thermotogae","Tma100","SAMN03437827","PRJNA279291","Complete",1.86961,1875,1949,,,46
"Cutibacterium acnes TypeIA2 P.acn33","Bacteria;Terrabacteria group;Actinobacteria","P.acn33","SAMN02602998","PRJNA76699","Complete",2.48962,2358,2500,"human",,45
"Methanosarcina mazei C16","Archaea;Euryarchaeota;Stenosarchaea group","C16","SAMN03074581","PRJNA230945","Complete",4.16624,3343,3569,,,57
"Sulfolobus solfataricus","Archaea;TACK group;Crenarchaeota","SULA","SAMN03452280","PRJNA279935","Complete",2.72734,2695,2967,,,46
"Xanthomonas citri subsp. citri UI6","Bacteria;Proteobacteria;Gammaproteobacteria","UI6","SAMN02911838","PRJNA255042","Complete",5.22243,4385,4723,"plants",,54
"Campylobacter coli","Bacteria;Proteobacteria;delta/epsilon subdivisions","FB1","SAMN03381357","PRJNA276885","Complete",1.73255,1687,1787,"human",,44
"Mycoplasma capricolum subsp. capripneumoniae","Bacteria;Terrabacteria group;Tenericutes","type strain: F38 = NCTC 10192","SAMEA2710297","PRJEB7064","Complete",1.01676,703,915,,,30
"Buchnera aphidicola (Cinara tujafilina)","Bacteria;Proteobacteria;Gammaproteobacteria","","SAMN02603413","PRJNA41379","Complete",0.444925,355,427,,"representative",30
"Cyanothece sp. PCC 7822","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","PCC 7822","SAMN00000663","PRJNA28535","Complete",7.84195,6683,6965,,,47
"Bifidobacterium longum subsp. longum JCM 1217","Bacteria;Terrabacteria group;Actinobacteria","JCM 1217","SAMD00060951","PRJDA32047","Complete",2.38516,1920,2090,,,73
"Haemophilus influenzae F3047","Bacteria;Proteobacteria;Gammaproteobacteria","F3047","SAMEA2272570","PRJEA61001","Complete",2.00702,1867,2042,"human",,57
"Yersinia pseudotuberculosis IP 32953","Bacteria;Proteobacteria;Gammaproteobacteria","IP32953","SAMN03121000","PRJNA239344","Complete",4.83943,4245,4497,"human",,82
"Yersinia enterocolitica","Bacteria;Proteobacteria;Gammaproteobacteria","2516-87","SAMN03161068","PRJNA240088","Complete",4.60395,4000,4317,"human",,77
"Francisella philomiragia","Bacteria;Proteobacteria;Gammaproteobacteria","GA01-2801","SAMN03023970","PRJNA260288","Complete",2.03371,1884,2003,"human",,39
"Flavobacterium psychrophilum","Bacteria;FCB group;Bacteroidetes/Chlorobi group","V4-24","SAMN02900760","PRJNA254203","Complete",2.68459,2335,2413,,,38
"Chlamydia muridarum str. Nigg3 CMUT3-5","Bacteria;PVC group;Chlamydiae","Nigg3 CMUT3-5","SAMN02402711","PRJNA227769","Complete",1.07295,900,951,"human",,37
"Burkholderia sp. RPE67","Bacteria;Proteobacteria;Betaproteobacteria","RPE67","SAMD00000331","PRJDB1660","Complete",8.68576,7850,8184,,,65
"Paenibacillus polymyxa","Bacteria;Terrabacteria group;Firmicutes","Sb3-1","SAMN03253097","PRJNA269241","Complete",5.82924,4829,5144,,,109
"Bacillus sp. BH072","Bacteria;Terrabacteria group;Firmicutes","BH072","SAMN03167799","PRJNA266571","Complete",4.06964,3838,4031,,,86
"Campylobacter lari RM16712","Bacteria;Proteobacteria;delta/epsilon subdivisions","RM16712","SAMN03248546","PRJNA236389","Complete",1.56501,1513,1596,"human",,43
"Campylobacter fetus subsp. testudinum","Bacteria;Proteobacteria;delta/epsilon subdivisions","pet-3","SAMN02689633","PRJNA241389","Complete",1.77639,1688,1755,"human",,42
"Bordetella pertussis 137","Bacteria;Proteobacteria;Betaproteobacteria","137","SAMN02360353","PRJNA221122","Complete",4.13459,3603,3981,"human",,51
"Mycoplasma mycoides subsp. mycoides","Bacteria;Terrabacteria group;Tenericutes","izsam_mm5713","SAMN03162163","PRJNA266092","Complete",1.1925,1015,1140,,,30
"Mycobacterium sp. VKM Ac-1817D","Bacteria;Terrabacteria group;Actinobacteria","VKM Ac-1817D","SAMN02469803","PRJNA183985","Complete",6.32422,5941,6087,"human",,54
"Mycobacteroides abscessus subsp. abscessus","Bacteria;Terrabacteria group;Actinobacteria","DJO-44274","SAMN03103584","PRJNA263506","Complete",4.68633,4553,4674,"human",,46
"Mycobacterium avium subsp. avium","Bacteria;Terrabacteria group;Actinobacteria","DJO-44271","SAMN03103573","PRJNA263498","Complete",5.01126,4441,4736,"human",,47
"Mycolicibacterium smegmatis","Bacteria;Terrabacteria group;Actinobacteria","INHR2","SAMN03068203","PRJNA261003","Complete",6.9883,6659,6830,"human",,47
