rRNA16S,Habitat,Oxygen,Motility,Spore,Pigment,Shape,Aggregation,Gram,GC,Length,Width,pH_optimum,Temp_optimum,Salt_optimum
EF554593,other,facultative anaerobe,non-motile,no,yes,rod,chain,positive,38.3,4.1,0.7,NA,28,2.5
AM778407,soil,obligate aerobe,non-motile,no,no,cocci,chain,negative,68,1.3,0.55,7,30,4
DQ787199,seawater,obligate aerobe,flagella,no,yes,rod,chain,negative,39,0.55,0.175,7.5,12.5,2.5
EF674853,soil,obligate aerobe,flagella,no,yes,rod,chain,negative,63.2,1.4,0.4,7.5,37,10
EF626688,freshwater,obligate aerobe,non-motile,no,yes,rod,chain,negative,70.3,0.9,0.5,7,25,0
EF674852,other,obligate aerobe,flagella,no,yes,rod,chain,negative,60.8,0.8,0.55,7.5,37,7.5
EF368368,soil,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,chain,negative,67.3,1.55,0.95,7.25,31,1
EF192392,seawater,obligate aerobe,non-motile,no,yes,cocci,chain,negative,47,1.5,0.7,7,25,3.5
AB302386,seawater,obligate aerobe,non-motile,no,yes,rod,chain,negative,69.1,2.25,0.35,8.5,43,2
AM747817,other,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,negative,NA,2.65,0.4,NA,5,1.5
AB166879,other,facultative anaerobe,non-motile,no,yes,rod,chain,negative,63.5,1.6,0.4,6.75,30,5
Q327663,other,obligate aerobe,flagella,no,yes,rod,chain,negative,67,1.5,0.4,7.85,26.5,0
EU056823,other,obligate aerobe,flagella,no,yes,rod,chain,negative,64.1,1.6,0.9,6.5,32.5,0.75
AY773186,other,obligate aerobe,NA,no,yes,rod,chain,negative,64.5,1.05,0.5,7,28,0
AM905849,other,obligate aerobe,"motile, but unspecified structure",no,yes,ovoid/coccobacillus,chain,negative,57.4,2.1,0.8,7,28,0
EF605262,other,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,negative,61.9,NA,0.4,7,29,0
EF584507,wastewater,obligate aerobe,NA,no,yes,rod,chain,negative,68.3,2.5,0.45,7.25,33.5,0.5
EF575564,soil,obligate aerobe,non-motile,no,yes,rod,chain,negative,67.5,1.2,0.4,7.5,27.5,0
AM492159,hypersaline environment,facultative anaerobe,"motile, but unspecified structure",yes,NA,rod,NA,positive,53.8,NA,NA,8.5,37,7
EF154454,plant associated,facultative anaerobe,non-motile,no,no,cocci,chain,positive,37.8,NA,NA,7.3,30,4
EF212039,other,obligate aerobe,NA,NA,NA,rod,NA,positive,71.7,NA,NA,7.5,30,2.5
AB330392,soil,obligate aerobe,non-motile,no,yes,rod,chain,negative,43.7,2.15,0.5,6.5,25,0.25
EU364817,soil,obligate aerobe,non-motile,no,yes,rod,chain,negative,36.3,2.15,0.6,7,27.5,1.5
AJ628046,other,obligate aerobe,gliding,no,yes,rod,chain,negative,34.5,3.5,0.4,7.5,25,2.5
EU239499,other,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,chain,negative,37.2,3.75,0.4,7.5,25,2
EF407880,other,obligate aerobe,gliding,no,yes,rod,chain,negative,40.6,2.25,NA,7.5,28,0
EF407879,other,obligate aerobe,gliding,no,no,rod,chain,negative,40.6,1.1,0.25,7,25,0
CU463952,wastewater,anaerobic,non-motile,no,yes,rod,chain,negative,55.8,2.5,0.9,7,37,0.35
EF533994a,freshwater,obligate aerobe,non-motile,no,yes,rod,chain,negative,52.4,2.525,2.025,7.25,38.5,25
AB289741,other,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,positive,64.7,2.5,0.65,6.25,38.5,17.4
AM396260,other,obligate aerobe,non-motile,no,yes,rod,chain,positive,73,1.4,0.35,7,30,1.5
EF466115,soil,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,positive,69.9,2,0.45,7.5,30,2.5
EF466114,soil,obligate aerobe,"motile, but unspecified structure",no,yes,ovoid/coccobacillus,chain,positive,69.3,2.4,0.55,8.25,28,0
EU489741,other,obligate aerobe,flagella,no,yes,rod,NA,negative,59,0.7,0.35,NA,30,NA
EF466113,soil,obligate aerobe,"motile, but unspecified structure",no,yes,ovoid/coccobacillus,chain,positive,69.4,2.15,0.35,7.5,28,0.5
EF493847,other,obligate aerobe,NA,no,yes,rod,chain,positive,70.5,1.3,0.85,6.5,30,3.5
EF587758,soil,obligate aerobe,non-motile,no,yes,rod,chain,positive,65.8,0.65,0.45,7,33.5,0
EF466128,soil,obligate aerobe,non-motile,no,yes,cocci,chain,positive,73.4,NA,0.45,7.4,28,2.5
AB286025,seawater,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,chain,positive,70,1.05,0.8,9,26,3.5
EF667339,other,obligate aerobe,"motile, but unspecified structure",no,yes,cocci,chain,positive,73.3,NA,NA,6.5,26.5,3
AM300598,soil,obligate aerobe,"motile, but unspecified structure",yes,no,rod,NA,positive,38.7,3.5,0.75,7,30,3
EF601829,soil,obligate aerobe,non-motile,no,yes,rod,chain,positive,67.7,NA,NA,7,28,2.5
EU642410,seawater,NA,flagella,NA,NA,spirillum/corkscrew,NA,negative,67.3,2.3,0.65,NA,31,5
AM937002,seawater,anaerobic,flagella,no,NA,rod,NA,negative,35,1.6,0.4,6.25,60,3
EU391157,other,NA,"motile, but unspecified structure",yes,no,rod,NA,positive,51.5,2.5,0.6,7.35,30,0.25
AJ781029,other,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,clump,positive,36.55,NA,NA,9.5,16,2.5
AF101415,soil,obligate aerobe,non-motile,no,no,NA,chain,positive,NA,NA,NA,5.8,31,NA
AY314783,soil,obligate aerobe,NA,yes,no,rod,chain,positive,72.3,NA,NA,7.5,25,6
HQ917055,other,obligate aerobe,NA,no,yes,rod,clump,positive,65.9,0.65,0.45,8,22.5,1.5
GU176611,bioreactor,anaerobic,non-motile,yes,NA,rod,none,negative,34.2,1.25,0.5,7,70,NA
AB699722,food product,facultative anaerobe,NA,NA,NA,cocci,NA,positive,39.6,NA,NA,5,NA,6
AF528192,hotspring,NA,flagella,no,no,rod,clump,negative,33.6,1.45,0.45,6,68,0.1
JX144975,soil,obligate aerobe,non-motile,no,yes,rod,NA,positive,NA,2.5,0.9,7.5,30,NA
EF553529,other,obligate aerobe,non-motile,no,NA,ovoid/coccobacillus,NA,positive,73,1.5,1,6.5,30,0.5
JQ086550,food product,facultative anaerobe,non-motile,no,NA,rod,none,positive,44.1,2.1,0.7,4,NA,NA
AJ431699,built environment,obligate aerobe,flagella,NA,yes,cocci,NA,negative,53.2,NA,NA,8,22.5,2.5
AB267406,other,facultative anaerobe,non-motile,no,NA,rod,NA,positive,34.3,4,1.25,NA,37,3
AF393376,other,anaerobic,flagella,no,NA,rod,chain,negative,46,0.9,0.45,6.25,70,2.5
EU594330,freshwater sediment,facultative anaerobe,flagella,NA,yes,rod,clump,negative,64,1.75,0.7,7,30,0.5
EU383033,soil,obligate aerobe,"motile, but unspecified structure",yes,NA,rod,clump,positive,50.1,7,0.45,7,30,NA
AM398397,other,obligate aerobe,non-motile,no,yes,cocci,clump,positive,74.1,0.25,NA,7.1,30,1
AB179866,other,obligate aerobe,flagella,yes,NA,rod,NA,variable,55,2.55,1.5,8,30,NA
AB166887,other,obligate aerobe,non-motile,NA,yes,rod,NA,positive,73.7,NA,NA,7.15,30,5.5
AM397636,other,facultative anaerobe,non-motile,no,yes,rod,NA,positive,NA,NA,NA,NA,NA,NA
AY598818,plant associated,facultative anaerobe,flagella,yes,NA,rod,NA,variable,50.7,2.25,1.25,7,28,NA
AY340622,other,obligate aerobe,non-motile,NA,NA,rod,NA,positive,74,NA,NA,NA,30,2.5
AF445264,other,anaerobic,non-motile,no,yes,rod,chain,positive,43.7,3.25,0.75,NA,37,NA
AF445239,other,anaerobic,non-motile,no,yes,rod,chain,positive,43.8,2.75,0.75,NA,37,NA
DQ898283,soil,obligate aerobe,non-motile,NA,no,rod,NA,positive,68.6,NA,NA,8.5,27.5,4.5
EF426729,plant associated,obligate aerobe,"motile, but unspecified structure",no,yes,rod,clump,negative,68.5,4.25,1.45,6.5,27.5,NA
AJ639826,other,obligate aerobe,non-motile,no,no,rod,chain,positive,68.1,NA,0.9,NA,29.5,NA
AJ315070,other,obligate aerobe,non-motile,no,no,cocci,clump,positive,62.2,NA,0.9,7.5,26,NA
AJ639830,other,obligate aerobe,non-motile,no,no,cocci,clump,positive,63.8,NA,0.9,7.5,26,10
AJ639827,other,obligate aerobe,non-motile,no,no,cocci,chain,positive,61.6,NA,0.9,8.5,26,10
AJ639828,other,obligate aerobe,non-motile,no,no,cocci,clump,positive,63.7,NA,0.9,8,26,10
AJ315069,other,obligate aerobe,non-motile,no,no,cocci,clump,positive,64.7,NA,0.9,8.5,26,7.5
EU183316,seawater,obligate aerobe,flagella,no,no,rod,NA,negative,40.8,1.75,0.45,7.6,30,NA
JN787193,other,microaerophile,non-motile,no,no,cocci,chain,positive,38.5,0.75,0.75,NA,NA,NA
JN787160,other,microaerophile,non-motile,no,no,cocci,chain,positive,NA,0.75,0.75,NA,NA,NA
AB721549,other,facultative anaerobe,non-motile,no,yes,rod,none,positive,39.4,2.25,1,NA,25,NA
HQ335006,other,facultative anaerobe,non-motile,no,yes,cocci,NA,positive,35.6,0.75,0.75,NA,37,NA
FM209428,soil,obligate aerobe,"motile, but unspecified structure",no,yes,rod,clump,positive,57.6,2.5,1,7.5,33.5,0
JQ277453,soil,obligate aerobe,flagella,NA,yes,rod,NA,negative,68.4,1.75,0.6,7,30,NA
HM371420,soil,obligate aerobe,non-motile,no,yes,rod,clump,negative,57.8,NA,NA,7.5,30,0.25
JQ864240,other,obligate aerobe,NA,NA,yes,rod,NA,negative,69.5,2.6,1.7,NA,NA,NA
JQ864241,other,obligate aerobe,NA,NA,yes,rod,NA,negative,67.7,2.3,1.3,NA,NA,NA
AB269261,soil,NA,non-motile,no,yes,NA,NA,positive,64.5,NA,NA,7,28.5,4.5
AB271053,soil,obligate aerobe,non-motile,no,NA,rod,NA,positive,73,NA,NA,7,30,0.5
JN693496,other,obligate aerobe,flagella,no,no,rod,NA,negative,65.1,1.6,1.3,6.5,NA,0
KC195919,plant associated,obligate aerobe,non-motile,NA,NA,rod,NA,negative,63.2,0.45,2,7,30,1
JN867053,seawater,obligate aerobe,flagella,no,yes,rod,none,negative,NA,4.75,0.45,7.25,36,2.25
JN600323,plant associated,facultative anaerobe,NA,no,yes,rod,NA,negative,50.2,NA,NA,NA,37,NA
HQ424446,plant associated,obligate aerobe,non-motile,no,yes,rod,clump,negative,61.4,1.2,0.3,7,36,3
FR832879,hotspring,obligate aerobe,non-motile,no,yes,rod,clump,negative,NA,3.5,1.1,8,41,1.5
A4268080,soil,obligate aerobe,"motile, but unspecified structure",NA,no,rod,clump,negative,74.3,1.3,0.75,8,32.5,8
AY245449,soil,obligate aerobe,flagella,NA,no,rod,clump,negative,51.4,2.25,0.5,7.75,27.5,5
AB264026,soil,obligate aerobe,"motile, but unspecified structure",yes,no,rod,NA,positive,60.35,4.5,0.85,4.25,52.5,1
AB076561,seawater,obligate aerobe,flagella,no,no,rod,NA,negative,49.5,1.7,0.8,NA,37,NA
AB264021,other,obligate aerobe,non-motile,yes,no,rod,NA,positive,53.9,4.5,0.95,4.25,42.5,1
AB264022,soil,obligate aerobe,"motile, but unspecified structure",yes,no,rod,NA,positive,61.5,4.5,0.65,4.25,52.5,1
AB101543,other,obligate aerobe,non-motile,NA,no,rod,chain,negative,64.5,1.65,0.7,7,30,NA
AB264025,soil,obligate aerobe,"motile, but unspecified structure",yes,no,rod,NA,positive,62.5,5.5,0.75,4.25,52.5,2.5
AB264020,other,obligate aerobe,"motile, but unspecified structure",yes,no,rod,NA,positive,56.6,4.5,0.65,4.25,47.5,1
AB264024,soil,obligate aerobe,"motile, but unspecified structure",yes,no,rod,NA,positive,60.5,4.5,0.75,4.25,47.5,2.5
AJ310394,other,obligate aerobe,flagella,NA,no,rod,none,negative,57.8,1.5,0.4,6.5,25,NA
DQ664540,other,obligate aerobe,flagella,yes,yes,rod,chain,positive,38.9,1.6,0.6,7.75,40,6
EF581819,soil,facultative anaerobe,flagella,yes,yes,rod,chain,positive,51.1,2.5,0.5,6.5,37,3.5
AM422449,soil,NA,non-motile,NA,no,rod,NA,positive,NA,NA,NA,9.1,30,2
AM773821,soil,obligate aerobe,flagella,yes,yes,rod,chain,positive,NA,3.5,1.25,7,25,1.5
AM409184,hotspring,facultative anaerobe,non-motile,yes,yes,rod,chain,positive,44.1,2.7,0.45,8,65,0.5
EU135704,other,obligate aerobe,flagella,yes,yes,rod,chain,positive,42.3,6,0.4,7,47.5,15
AM422448,marine sediment,NA,non-motile,no,yes,rod,NA,positive,73.1,1.75,0.7,7.6,22,4
AB197851,other,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,chain,positive,37.3,2.65,0.75,7.5,32.5,8.5
AY864633,other,obligate aerobe,"motile, but unspecified structure",no,yes,cocci,chain,positive,48.5,1.5,1.15,7,25,2.9
EU143680,soil,facultative anaerobe,flagella,NA,yes,rod,chain,positive,37.1,5.5,0.9,9.5,34,0.74
AB365352,seawater,facultative anaerobe,flagella,no,yes,rod,chain,negative,38,1.25,0.75,7,22.5,3.5
EF575565,soil,facultative aerobe,flagella,no,no,rod,chain,negative,49.2,2.75,1.2,7.25,27.5,0.5
EU022524,other,obligate aerobe,flagella,no,yes,rod,chain,negative,67.5,1.3,0.5,7.5,30,0.5
DQ090961,soil,obligate aerobe,non-motile,NA,NA,ovoid/coccobacillus,NA,positive,59.1,NA,NA,7.75,30,NA
AJ313020,other,obligate aerobe,NA,no,yes,rod,chain,negative,62.8,0.9,0.6,7,30,0
AJ555478,bioreactor,obligate aerobe,NA,no,yes,rod,chain,negative,64.9,0.9,0.6,7,30,0
DQ665838,seawater,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,negative,60,2.5,0.9,6,30,NA
DQ665839,seawater,obligate aerobe,flagella,no,yes,rod,chain,negative,60,2.5,0.9,6,30,0
AB245343,soil,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,negative,69.2,1.1,0.25,7,30,2.5
EF626692,other,obligate aerobe,flagella,no,yes,rod,chain,negative,63.2,1.3,0.35,7.5,30,0
DQ781320,seawater,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,negative,NA,NA,NA,7,27.75,4
AY195836,seawater,obligate aerobe,non-motile,NA,yes,rod,none,negative,34,3.5,0.4,7.5,30,3
DQ781321,seawater,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,negative,NA,NA,NA,7,27.75,35
AJ508927,other,obligate aerobe,NA,yes,NA,rod,NA,negative,42.3,NA,NA,6.8,37,NA
DQ874340,plant associated,obligate aerobe,flagella,no,yes,rod,chain,negative,47,1.9,0.7,7,30,1
AB353727,other,anaerobic,flagella,no,yes,cocci,chain,negative,46.2,2.25,0.85,7.5,37,NA
AB369864,other,obligate aerobe,non-motile,no,no,rod,chain,negative,NA,2,NA,7.25,29,3
AJ315980,human - fecal,anaerobic,non-motile,no,yes,rod,NA,positive,54,0.5,3.5,NA,37,NA
EU545827,soil,obligate aerobe,NA,yes,NA,rod,NA,negative,69.2,7,1.25,NA,NA,NA
AJ250318,soil,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,NA,variable,35.4,0.8,3.5,7,37,NA
JX861096,freshwater,obligate aerobe,flagella,no,yes,rod,NA,negative,64.7,1.55,0.6,7,30,NA
HE648058,other,obligate aerobe,"motile, but unspecified structure",no,yes,rod,clump,negative,65.7,1.5,0.7,7.5,27.5,0
JQ001784,plant associated,NA,"motile, but unspecified structure",NA,yes,rod,NA,negative,55,1.35,0.6,7,30,NA
JQ650257,other,facultative anaerobe,non-motile,NA,yes,rod,clump,negative,58.7,1.5,0.5,8.5,37,1
EU332826,soil,obligate aerobe,non-motile,no,NA,rod,clump,negative,65.5,1.2,0.5,7,26,NA
EF177692,seawater,obligate aerobe,non-motile,no,no,cocci,clump,positive,46.1,NA,NA,8.5,25,10
DQ789172,soil,NA,NA,no,NA,rod,clump,negative,66.4,1.75,0.75,7.25,29,0.025
JX274435,other,facultative anaerobe,flagella,NA,yes,rod,clump,negative,67.7,4,1.5,7.2,30,1
JN399173,freshwater,NA,non-motile,yes,yes,rod,clump,negative,NA,2,0.9,5.25,NA,0.25
FN995218,freshwater,facultative anaerobe,"motile, but unspecified structure",yes,yes,rod,NA,negative,64.2,3.25,1.3,7,30,0
FR847844,plant associated,obligate aerobe,non-motile,NA,yes,rod,clump,negative,NA,2.9,0.85,6.1,20,0
FR847848,plant associated,obligate aerobe,non-motile,NA,yes,rod,clump,negative,NA,3.75,0.8,6.1,20.5,0
AM990889,seawater,obligate aerobe,non-motile,no,yes,rod,NA,negative,44.5,2.2,0.34,7,27.5,0.75
AM600682,food product,facultative anaerobe,non-motile,NA,NA,ovoid/coccobacillus,chain,positive,43.5,2.5,0.9,3.9,23.5,NA
AB189298,other,obligate aerobe,non-motile,yes,yes,rod,chain,positive,43.3,1.95,0.75,7.75,25,10
AB195680,other,obligate aerobe,non-motile,yes,yes,rod,chain,positive,42.1,2.45,0.75,7.75,25,6
AB108825,human - mouth,anaerobic,non-motile,no,no,rod,NA,negative,44.3,9.15,0.65,NA,NA,NA
AB108826,human - mouth,anaerobic,non-motile,no,no,rod,NA,negative,41.3,1.25,0.65,NA,NA,NA
AY364537,soil,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,NA,negative,59.3,1.4,0.75,NA,25,NA
AJ717299,hypersaline environment,obligate aerobe,flagella,yes,no,rod,clump,positive,42.4,3,1.1,7,37,8.75
EU290153,plant associated,obligate aerobe,non-motile,NA,yes,rod,clump,negative,36.9,0.35,2.5,7,25,NA
EF178282,marine sediment,facultative anaerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,53.7,3.15,0.6,7,37,4
AY822043,soil,anaerobic,flagella,yes,no,rod,clump,variable,36.7,3.75,0.7,7.5,37,4.5
DQ447774,other,obligate aerobe,non-motile,no,NA,cocci,clump,positive,69.2,NA,NA,7,25,NA
AY684123,soil,NA,non-motile,NA,yes,cocci,clump,positive,57.9,0.6,0.6,7.5,NA,12.75
DQ985164,soil,obligate aerobe,NA,yes,no,NA,chain,positive,66.5,NA,NA,7.5,28,NA
AB428873,seawater,NA,flagella,NA,no,rod,NA,negative,42.2,NA,NA,NA,17.5,2.2
EU036220,other,obligate aerobe,flagella,no,yes,rod,NA,positive,49,NA,NA,6.5,20.5,5.5
EU791281,other,NA,flagella,no,no,rod,NA,negative,NA,1.2,0.53,NA,30,NA
EU286805,other,obligate aerobe,flagella,no,yes,rod,NA,negative,60.9,1.35,0.65,8,37,2
AY642589,wastewater,anaerobic,"motile, but unspecified structure",no,no,NA,NA,negative,52.7,3,0.1,7.1,42,0.5
AB438958,other,obligate aerobe,non-motile,no,no,ovoid/coccobacillus,NA,negative,NA,1.75,0.8,NA,26.5,6
AB105159,food product,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,negative,62.9,2.85,0.4,7.5,28.5,10
AY376164,soil,obligate aerobe,non-motile,no,yes,cocci,NA,positive,63.8,0.65,0.65,8.5,28,2.5
AY327251,other,anaerobic,NA,no,yes,rod,NA,positive,51,2,1,7.75,33.5,NA
AJ564009,food product,microaerophile,non-motile,no,NA,rod,chain,positive,44.6,1.5,0.5,NA,NA,NA
AB154519,food product,facultative anaerobe,flagella,NA,NA,rod,NA,positive,40,1.25,0.7,NA,30,NA
AY445815,food product,anaerobic,non-motile,no,NA,rod,NA,positive,NA,2,NA,NA,41,NA
AB374544,marine sediment,facultative anaerobe,flagella,NA,NA,rod,NA,negative,42,1,0.65,7.5,22.5,2.5
EF177670,other,obligate aerobe,flagella,no,no,spirillum/corkscrew,NA,negative,58.5,5.5,0.6,8,37,5
EU740416,other,obligate aerobe,flagella,no,NA,rod,NA,negative,64,0.9,0.4,5.5,32.5,2.5
EU586202,soil,obligate aerobe,flagella,NA,NA,rod,NA,negative,68.8,1.35,0.85,7.5,32.5,2
EF660755,marine sediment,NA,non-motile,no,NA,rod,NA,negative,NA,NA,NA,NA,30,0
AJ561121,marine sediment,facultative anaerobe,flagella,NA,no,rod,none,negative,51.1,1.6,0.45,NA,20.5,2.75
AY257972,other,anaerobic,non-motile,no,NA,rod,NA,negative,43.95,2.1,0.55,NA,22.5,NA
AB245334,soil,obligate aerobe,non-motile,no,NA,rod,NA,positive,71.5,2,NA,8,23,0.75
AY187689,plant endophyte,facultative anaerobe,gliding,no,yes,rod,NA,negative,32,2.5,0.45,7.9,22,3.5
AM419460,human - mouth,facultative anaerobe,non-motile,no,NA,rod,NA,positive,47.8,NA,NA,NA,36.5,NA
AY428573,estuarine sediment,anaerobic,flagella,no,NA,rod,NA,negative,46,3,1,7.5,33.5,3.5
DQ792500,other,obligate aerobe,non-motile,NA,NA,rod,NA,positive,NA,NA,NA,6.25,27.5,2
AY271622,plant associated,obligate aerobe,non-motile,NA,yes,rod,NA,negative,37.7,4,0.55,NA,16,5.5
AY372184,plant associated,NA,NA,NA,NA,rod,NA,negative,63.7,NA,NA,7.25,28,NA
AY264287,soil,obligate aerobe,flagella,NA,NA,rod,NA,negative,56,1.95,0.7,7.5,33.5,NA
AJ606047,other,facultative anaerobe,NA,no,NA,cocci,chain,positive,37.4,NA,NA,NA,NA,NA
AB266597,soil,obligate aerobe,non-motile,no,NA,rod,NA,positive,68.8,NA,NA,4,21,NA
DQ203185,soil,facultative aerobe,non-motile,no,NA,rod,NA,positive,72.9,1.7,0.75,7,29,2.5
AY489405,soil,obligate aerobe,flagella,no,NA,NA,NA,negative,61.4,3.25,0.86,7.5,32.5,7.5
AY536889,bioreactor,NA,flagella,no,yes,rod,chain,negative,43.2,5,0.7,7.8,38.5,NA
AY264840,estuarine sediment,obligate aerobe,non-motile,no,yes,rod,NA,negative,38,1.7,0.35,7,37.5,1
AY264839,estuarine sediment,obligate aerobe,non-motile,no,yes,rod,NA,negative,37,1.4,0.4,7,35,5
AY264838f,estuarine sediment,obligate aerobe,non-motile,no,yes,rod,NA,negative,42,1.4,0.45,7,37.5,1
AB264617,other,NA,"motile, but unspecified structure",NA,NA,rod,NA,NA,34.9,3.75,0.75,6.15,50,2.5
FR827898,seawater,obligate aerobe,non-motile,NA,yes,rod,chain,negative,36.3,1.25,0.25,8,33.5,NA
JN036550,plant associated,obligate aerobe,gliding,no,yes,rod,clump,negative,40.2,2.1,0.35,8.5,30,0
JN390676,other,obligate aerobe,non-motile,no,yes,rod,NA,negative,33.7,2.75,0.45,6.5,20,0.5
JF714702,other,obligate aerobe,gliding,no,yes,rod,clump,negative,42.4,5.25,0.3,7.25,33.5,3
JN864028,seawater,obligate aerobe,non-motile,no,yes,rod,clump,negative,41.6,1.2,0.3,7,25,2
AB721966,freshwater,obligate aerobe,"motile, but unspecified structure",NA,NA,rod,NA,negative,42.5,10.6,0.2,NA,NA,NA
AB534166,other,NA,NA,yes,yes,ovoid/coccobacillus,none,NA,38.6,5.65,4.85,NA,NA,NA
AB534167,other,NA,NA,yes,yes,ovoid/coccobacillus,none,NA,39.5,5.65,4.85,NA,NA,NA
EF185167,human - mouth,anaerobic,non-motile,no,NA,cocci,clump,negative,NA,NA,NA,NA,NA,NA
EF436500,other,anaerobic,non-motile,no,NA,rod,chain,negative,59.4,1.55,0.85,NA,37,3
AM712619,estuarine water,anaerobic,"motile, but unspecified structure",NA,yes,rod,NA,negative,59.8,1.25,3,7.5,30,NA
EF575563,other,obligate aerobe,gliding,no,yes,rod,chain,negative,35.4,2.4,0.5,7.5,25,0.25
AM745437,seawater,obligate aerobe,non-motile,no,no,rod,chain,negative,38.9,2.235,0.69,7.75,30,2
EU021217,seawater,obligate aerobe,non-motile,no,yes,rod,chain,negative,34,2.5,0.3,7,23.5,3.5
AB364473,other,anaerobic,flagella,no,yes,rod,chain,negative,27.1,21,0.255,7,50,2.75
DQ017708,other,obligate aerobe,NA,no,yes,rod,chain,negative,68.3,2.75,NA,7,30,1.5
DQ017709,other,obligate aerobe,NA,no,yes,cocci,chain,negative,68.4,2.5,NA,7,30,1.5
AY534872,soil,anaerobic,flagella,yes,NA,rod,NA,positive,41,3.9,0.5,6.75,30,0.5
EF114314,soil,obligate aerobe,non-motile,yes,yes,rod,chain,positive,77,NA,NA,7,25,2
EF095149,soil,obligate aerobe,non-motile,yes,yes,rod,chain,positive,NA,1.1,NA,7,28,5
EU200681,plant associated,obligate aerobe,NA,yes,no,rod,chain,positive,72,NA,NA,7,28,2.5
EF466125,soil,obligate aerobe,non-motile,NA,yes,rod,chain,positive,71,0.65,0.5,7.3,28,1.5
EU375845,other,obligate aerobe,non-motile,no,yes,rod,chain,positive,71.9,NA,NA,7,28,7.5
EU375846,other,obligate aerobe,non-motile,no,yes,rod,chain,positive,72.6,NA,NA,7,28,5
AM940158,other,obligate aerobe,non-motile,no,yes,rod,chain,positive,NA,1.2,0.5,7,25.5,0
AM934703,soil,obligate aerobe,NA,yes,yes,rod,chain,positive,NA,NA,NA,7,27.5,0
EF633986,soil,obligate aerobe,non-motile,no,yes,rod,chain,positive,69.1,1.5,0.75,7,25,1.5
EF081293,hotspring,anaerobic,flagella,no,yes,rod,chain,negative,46.8,3.5,0.5,7.1,55,0
AB365976,other,facultative anaerobe,non-motile,no,yes,rod,chain,positive,36.5,1.75,1,7,30,0
EU099594,other,obligate aerobe,flagella,yes,yes,rod,chain,variable,46,NA,NA,7,30,2
EF530067,hotspring,anaerobic,flagella,yes,yes,rod,chain,variable,33.6,8.5,0.5,7.1,61,0
AY829448,soil,facultative anaerobe,flagella,yes,yes,rod,chain,positive,37.9,2.7,0.45,9.25,30,0.5
EU179327,soil,facultative anaerobe,"motile, but unspecified structure",yes,yes,rod,chain,variable,46.7,4.3,1.15,7,30,7
AB218661,estuarine sediment,anaerobic,non-motile,no,NA,rod,chain,variable,41,3.5,0.7,7.8,29,2.5
AY576729,seawater,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,negative,57,1.8,0.7,8,30,NA
AY376312,hypersaline environment,obligate aerobe,non-motile,yes,yes,rod,NA,positive,37.5,2.75,0.35,10,37,5.8
