"t_number","org_code","aliases","full_name","definition","annotation","taxonomy","lineage","data_source","keywords","disease","comment","number_of_nucleotides","number_of_protein_genes","number_of_RNA_genes","created","type","detail","accession","length","accession2","tax_id"
"T04407","pbv","1616788","Paenibacillus bovis","Paenibacillus bovis","KOALA","TAX: 1616788","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_001421015.1)            BioProject: 299093",NA,NA,NA,5354277,4387,117,2016,"Chromosome","Circular","CP013023",5354277,"CP013023","1616788"
"T04676","pxl","528191","Paenibacillus xylanexedens","Paenibacillus xylanexedens PAMC 22703","KOALA","TAX: 528191","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_001908275.1)            BioProject: 356199",NA,NA,NA,7098239,5946,142,2017,"Chromosome","Circular","CP018620",7053622,"CP018620","528191"
"T04676","pxl","528191","Paenibacillus xylanexedens","Paenibacillus xylanexedens PAMC 22703","KOALA","TAX: 528191","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_001908275.1)            BioProject: 356199",NA,NA,NA,7098239,5946,142,2017,"Plasmid","unnamed; Circular","CP018621",44617,"CP018621","528191"
"T04810","pyg","1462996","Paenibacillus yonginensis","Paenibacillus yonginensis DCY84","KOALA","TAX: 1462996","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_001685395.1)            BioProject: 306396",NA,NA,NA,4985901,4233,117,2017,"Chromosome","Circular","CP014167",4985901,"CP014167","1462996"
"T04884","pswu","1178515","Paenibacillus swuensis","Paenibacillus swuensis DY6","KOALA","TAX: 1178515","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_001644605.1)            BioProject: 272872",NA,NA,NA,5012599,4098,118,2017,"Chromosome","Circular","CP011388",5012599,"CP011388","1178515"
"T04971","pdh","414771","Paenibacillus donghaensis","Paenibacillus donghaensis KCTC 13049","KOALA","TAX: 414771","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_002192415.1)            BioProject: 384283",NA,NA,NA,8542333,7274,123,2017,"Chromosome","Circular","CP021780",8542333,"CP021780","414771"
"T02394","tco","717605","Thermobacillus composti","Thermobacillus composti KWC4","KOALA","TAX: 717605","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Thermobacillus","GenBank (Assembly: GCA_000227705.3)            BioProject: 54035",NA,NA,NA,4355525,3858,101,2012,"Chromosome","Circular","CP003255",4206343,"CP003255","717605"
"T02394","tco","717605","Thermobacillus composti","Thermobacillus composti KWC4","KOALA","TAX: 717605","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Thermobacillus","GenBank (Assembly: GCA_000227705.3)            BioProject: 54035",NA,NA,NA,4355525,3858,101,2012,"Plasmid","pTHECO01; Circular","CP003256",149182,"CP003256","717605"
"T04247","anx","1450761","Aneurinibacillus sp. XH2","Aneurinibacillus sp. XH2","KOALA","TAX: 1450761","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Aneurinibacillus group; Aneurinibacillus","GenBank (Assembly: GCA_001439585.2)            BioProject: 287204",NA,NA,"Isolated from Gudao oilfield in China.",3664835,3441,153,2016,"Chromosome","Circular","CP014140",3664835,"CP014140","1450761"
"T00985","aac","521098","Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446","Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446","manual","TAX: 521098","Bacteria; Firmicutes; Bacilli; Bacillales; Alicyclobacillaceae; Alicyclobacillus","GenBank (Assembly: GCA_000024285.1)            BioProject: 29405",NA,NA,"Originally isolated from a hot and acidic spring in Yellowstone National Park, USA in 1971 (or earlier).",3205686,3084,85,2009,"Chromosome","Circular","CP001727",3018755,"CP001727","521098"
"T00985","aac","521098","Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446","Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446","manual","TAX: 521098","Bacteria; Firmicutes; Bacilli; Bacillales; Alicyclobacillaceae; Alicyclobacillus","GenBank (Assembly: GCA_000024285.1)            BioProject: 29405",NA,NA,"Originally isolated from a hot and acidic spring in Yellowstone National Park, USA in 1971 (or earlier).",3205686,3084,85,2009,"Plasmid","pAACI01; Circular","CP001728",91726,"CP001728","521098"
"T00985","aac","521098","Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446","Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446","manual","TAX: 521098","Bacteria; Firmicutes; Bacilli; Bacillales; Alicyclobacillaceae; Alicyclobacillus","GenBank (Assembly: GCA_000024285.1)            BioProject: 29405",NA,NA,"Originally isolated from a hot and acidic spring in Yellowstone National Park, USA in 1971 (or earlier).",3205686,3084,85,2009,"Plasmid","pAACI02; Circular","CP001729",87298,"CP001729","521098"
"T00985","aac","521098","Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446","Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446","manual","TAX: 521098","Bacteria; Firmicutes; Bacilli; Bacillales; Alicyclobacillaceae; Alicyclobacillus","GenBank (Assembly: GCA_000024285.1)            BioProject: 29405",NA,NA,"Originally isolated from a hot and acidic spring in Yellowstone National Park, USA in 1971 (or earlier).",3205686,3084,85,2009,"Plasmid","pAACI03; Circular","CP001730",7907,"CP001730","521098"
"T01821","aad","1048834","Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1","Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1","KOALA","TAX: 1048834","Bacteria; Firmicutes; Bacilli; Bacillales; Alicyclobacillaceae; Alicyclobacillus","GenBank (Assembly: GCA_000219875.1)            BioProject: 68273",NA,NA,"Thermoacidophilic bacterium.            Produces heat- and acid-stable enzymes, such as amylase and esterase.            Uses soluble starch as a carbon energy source.            Isolated from a hot spring in Tengchong, Yunnan, China.",3124048,3208,81,2012,"Chromosome","Circular","CP002902",3124048,"CP002902","1048834"
"T01220","bts","562970","Kyrpidia tusciae","Kyrpidia tusciae DSM 2912","manual","TAX: 562970","Bacteria; Firmicutes; Bacilli; Bacillales; Alicyclobacillaceae; Kyrpidia","GenBank (Assembly: GCA_000092905.1)            BioProject: 31345","Hydrogen oxidation",NA,"Hydrogen-oxidizing, thermoacidophilic spore former that lives as a facultative chemolithoautotroph in solfataras.            Isolated from ponds in the solfatara of San Federigo, a geothermal area near Lago, Tuscany, Italy.",3384766,3150,79,2010,"Chromosome","Circular","CP002017",3384766,"CP002017","562970"
"T04874","tum","1903704","Tumebacillus sp. AR23208","Tumebacillus sp. AR23208","KOALA","TAX: 1903704","Bacteria; Firmicutes; Bacilli; Bacillales; Alicyclobacillaceae; Tumebacillus","GenBank (Assembly: GCA_002162355.1)            BioProject: 387509",NA,NA,NA,5249768,4379,335,2017,"Chromosome","Circular","CP021434",5249768,"CP021434","1903704"
"T04994","tab","1214604","Tumebacillus algifaecis","Tumebacillus algifaecis THMBR28","KOALA","TAX: 1214604","Bacteria; Firmicutes; Bacilli; Bacillales; Alicyclobacillaceae; Tumebacillus","GenBank (Assembly: GCA_002243515.1)            BioProject: 396806",NA,NA,NA,4516965,3774,270,2017,"Chromosome","Circular","CP022657",4516965,"CP022657","1214604"
"T02162","siv","1002809","Solibacillus silvestris StLB046","Solibacillus silvestris StLB046","KOALA","TAX: 1002809","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Solibacillus","GenBank (Assembly: GCA_000271325.1)            BioProject: 65037",NA,NA,"Isolated from the potato leaf collected in Minamishimabara, Nagasaki, Japan.",3984229,3823,133,2012,"Chromosome","Circular","AP012157",3969327,"AP012157","1002809"
"T02162","siv","1002809","Solibacillus silvestris StLB046","Solibacillus silvestris StLB046","KOALA","TAX: 1002809","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Solibacillus","GenBank (Assembly: GCA_000271325.1)            BioProject: 65037",NA,NA,"Isolated from the potato leaf collected in Minamishimabara, Nagasaki, Japan.",3984229,3823,133,2012,"Plasmid","pSSIL1; Circular","AP012158",14902,"AP012158","1002809"
"T04506","ssil","76853","Solibacillus silvestris DSM 12223","Solibacillus silvestris DSM 12223","KOALA","TAX: 76853","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Solibacillus","GenBank (Assembly: GCA_001586195.1)            BioProject: 296936",NA,NA,NA,3991226,3754,157,2016,"Chromosome","Circular","CP014609",3991226,"CP014609","76853"
"T03510","pln","1526927","Planococcus sp. PAMC 21323","Planococcus sp. PAMC 21323","KOALA","TAX: 1526927","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_000785555.1)            BioProject: 256273",NA,NA,NA,3199864,3089,84,2015,"Chromosome","Circular","CP009129",3196500,"CP009129","1526927"
"T03510","pln","1526927","Planococcus sp. PAMC 21323","Planococcus sp. PAMC 21323","KOALA","TAX: 1526927","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_000785555.1)            BioProject: 256273",NA,NA,NA,3199864,3089,84,2015,"Plasmid","pPla; Circular","CP009130",3364,"CP009130","1526927"
"T04200","pku","1374","Planococcus kocurii","Planococcus kocurii ATCC 43650","KOALA","TAX: 1374","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_001465835.2)            BioProject: 305663",NA,NA,"Isolated from the skin of a North sea cod.",3485580,3234,102,2016,"Chromosome","Circular","CP013661",3472056,"CP013661","1374"
"T04200","pku","1374","Planococcus kocurii","Planococcus kocurii ATCC 43650","KOALA","TAX: 1374","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_001465835.2)            BioProject: 305663",NA,NA,"Isolated from the skin of a North sea cod.",3485580,3234,102,2016,"Plasmid","unnamed; Circular","CP013660",13524,"CP013660","1374"
"T04201","prt","200991","Planococcus rifietoensis","Planococcus rifietoensis M8","KOALA","TAX: 200991","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_001465795.2)            BioProject: 305456",NA,NA,"Isolated from an algal mat collected from a sulfurous spring in Campania (Italy).",3505011,3386,103,2016,"Chromosome","Circular","CP013659",3505011,"CP013659","200991"
"T04421","pll","1302659","Planococcus sp. L10.15","Planococcus sp. L10.15","KOALA","TAX: 1302659","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_001186155.3)            BioProject: 192562",NA,NA,NA,3330075,3145,102,2016,"Chromosome","Circular","CP016540",3249625,"CP016540","1302659"
"T04421","pll","1302659","Planococcus sp. L10.15","Planococcus sp. L10.15","KOALA","TAX: 1302659","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_001186155.3)            BioProject: 192562",NA,NA,NA,3330075,3145,102,2016,"Plasmid","pPS15-1; Circular","CP016541",70675,"CP016541","1302659"
"T04421","pll","1302659","Planococcus sp. L10.15","Planococcus sp. L10.15","KOALA","TAX: 1302659","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_001186155.3)            BioProject: 192562",NA,NA,NA,3330075,3145,102,2016,"Plasmid","pPS15-2; Circular","CP016542",9775,"CP016542","1302659"
"T04428","pana","1185653","Planococcus antarcticus","Planococcus antarcticus DSM 14505","KOALA","TAX: 1185653","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_001687565.2)            BioProject: 328184",NA,NA,NA,3804624,3492,103,2016,"Chromosome","Circular","CP016534",3765545,"CP016534","1185653"
"T04428","pana","1185653","Planococcus antarcticus","Planococcus antarcticus DSM 14505","KOALA","TAX: 1185653","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_001687565.2)            BioProject: 328184",NA,NA,NA,3804624,3492,103,2016,"Plasmid","pPA05-1; Circular","CP016535",31009,"CP016535","1185653"
"T04428","pana","1185653","Planococcus antarcticus","Planococcus antarcticus DSM 14505","KOALA","TAX: 1185653","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_001687565.2)            BioProject: 328184",NA,NA,NA,3804624,3492,103,2016,"Plasmid","pPA05-2; Circular","CP016536",8070,"CP016536","1185653"
"T04451","pdg","414778","Planococcus donghaensis","Planococcus donghaensis DSM 22276","KOALA","TAX: 414778","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_001687665.2)            BioProject: 330591",NA,NA,NA,3319331,3099,117,2016,"Chromosome","Circular","CP016543",3305371,"CP016543","414778"
"T04451","pdg","414778","Planococcus donghaensis","Planococcus donghaensis DSM 22276","KOALA","TAX: 414778","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_001687665.2)            BioProject: 330591",NA,NA,NA,3319331,3099,117,2016,"Plasmid","pPD76; Circular","CP016544",13960,"CP016544","414778"
"T04473","phc","1215089","Planococcus halocryophilus","Planococcus halocryophilus DSM 24743","KOALA","TAX: 1215089","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_001687585.2)            BioProject: 328203",NA,NA,NA,3424893,3211,106,2016,"Chromosome","Circular","CP016537",3424893,"CP016537","1215089"
"T04763","pmar","192421","Planococcus maritimus","Planococcus maritimus Y42","KOALA","TAX: 192421","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_001999905.1)            BioProject: 371518",NA,NA,NA,4149733,3955,100,2017,"Chromosome","Circular","CP019640",3718896,"CP019640","192421"
"T04763","pmar","192421","Planococcus maritimus","Planococcus maritimus Y42","KOALA","TAX: 192421","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_001999905.1)            BioProject: 371518",NA,NA,NA,4149733,3955,100,2017,"Plasmid","unnamed1; Circular","CP019641",329482,"CP019641","192421"
"T04763","pmar","192421","Planococcus maritimus","Planococcus maritimus Y42","KOALA","TAX: 192421","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_001999905.1)            BioProject: 371518",NA,NA,NA,4149733,3955,100,2017,"Plasmid","unnamed2; Circular","CP019642",89073,"CP019642","192421"
"T04763","pmar","192421","Planococcus maritimus","Planococcus maritimus Y42","KOALA","TAX: 192421","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_001999905.1)            BioProject: 371518",NA,NA,NA,4149733,3955,100,2017,"Plasmid","unnamed3; Circular","CP019643",12282,"CP019643","192421"
"T04812","ppla","1038856","Planococcus plakortidis","Planococcus plakortidis DSM 23997","KOALA","TAX: 1038856","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_001687605.2)            BioProject: 328210",NA,NA,NA,3261818,3055,101,2017,"Chromosome","Circular","CP016539",3261818,"CP016539","1038856"
"T04955","pfae","1598147","Planococcus faecalis","Planococcus faecalis AJ003","KOALA","TAX: 1598147","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Planococcus","GenBank (Assembly: GCA_002009235.1)            BioProject: 361331",NA,NA,NA,3495892,3330,102,2017,"Chromosome","Circular","CP019401",3495892,"CP019401","1598147"
"T03570","jeo","1508404","Jeotgalibacillus malaysiensis","Jeotgalibacillus malaysiensis D5","KOALA","TAX: 1508404","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Jeotgalibacillus","GenBank (Assembly: GCA_000818095.1)            BioProject: 253510",NA,NA,NA,4119509,4444,146,2015,"Chromosome","Circular","CP009416",3516439,"CP009416","1508404"
"T03570","jeo","1508404","Jeotgalibacillus malaysiensis","Jeotgalibacillus malaysiensis D5","KOALA","TAX: 1508404","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Jeotgalibacillus","GenBank (Assembly: GCA_000818095.1)            BioProject: 253510",NA,NA,NA,4119509,4444,146,2015,"Plasmid","unnamed; Circular","CP009417",603070,"CP009417","1508404"
"T04250","kur","1750719","Kurthia sp. 11kri321","Kurthia sp. 11kri321","KOALA","TAX: 1750719","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Kurthia","GenBank (Assembly: GCA_001534765.1)            BioProject: 301103",NA,NA,NA,2964527,2893,109,2016,"Chromosome","Circular","CP013217",2964527,"CP013217","1750719"
"T04327","spsy","1476","Sporosarcina psychrophila","Sporosarcina psychrophila DSM 6497","KOALA","TAX: 1476","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Sporosarcina","GenBank (Assembly: GCA_001590685.1)            BioProject: 313115",NA,NA,"Isolated from soil and river water.",4674191,4223,105,2016,"Chromosome","Circular","CP014616",4674191,"CP014616","1476"
"T04790","spor","1930764","Sporosarcina sp. P33","Sporosarcina sp. P33","KOALA","TAX: 1930764","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Sporosarcina","GenBank (Assembly: GCA_002077155.1)            BioProject: 316714",NA,NA,NA,3235441,3014,97,2017,"Chromosome","Circular","CP015027",3235441,"CP015027","1930764"
"T04826","spop","1930546","Sporosarcina sp. P37","Sporosarcina sp. P37","KOALA","TAX: 1930546","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Sporosarcina","GenBank (Assembly: GCA_002109365.1)            BioProject: 317682",NA,NA,NA,3335999,3210,97,2017,"Chromosome","Circular","CP015349",3271521,"CP015349","1930546"
"T04826","spop","1930546","Sporosarcina sp. P37","Sporosarcina sp. P37","KOALA","TAX: 1930546","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Sporosarcina","GenBank (Assembly: GCA_002109365.1)            BioProject: 317682",NA,NA,NA,3335999,3210,97,2017,"Plasmid","pSporoP37; Circular","CP018869",64478,"CP018869","1930546"
"T04877","sure","1571","Sporosarcina ureae","Sporosarcina ureae P32a","KOALA","TAX: 1571","Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Sporosarcina","GenBank (Assembly: GCA_002109325.1)            BioProject: 317681",NA,NA,NA,3382744,3155,100,2017,"Chromosome","Circular","CP015348",3382744,"CP015348","1571"
